"Consensus_bnumber"	"Consensus_symbol"	"Consensus_start"	"Consensus_stop"	"Consensus_strand"	"Consensus_TF"	"RegulonDB_gene_id"	"RegulonDB_symbol"	"RegulonDB_bnumber"	"RegulonDB_start"	"RegulonDB_stop"	"RegulonDB_strand"	"RegulonDB_type"	"RegulonDB_product_id"	"RegulonDB_product_name"	"RegulonDB_product_type"	"gene_synonyms"	"product_synonyms"	"RegulonDB_TF"	"Zika_gene_id"	"Zika_symbol"	"Zika_bnumber"	"Zika_essentiality"	"Zika_product"	"Zika_start"	"Zika_stop"	"Zika_strand"	"Zika_type"	"Zika_TF"	"test_start"	"test_stop"	"test_strand"
"U00096_ncRNA_1298696_1298951"	"oppA5'"	"1298697"	"1298951"	"+"	"0"	"ECK125121991"	"oppA5'"	NA	"1298697"	"1298951"	"+"	NA	"ECK125122016"	"OppA5'"	"small RNA"	"U00096_ncRNA_1298696_1298951,oppA5p,oppA5',ECK125121991"	"ig:771,RNA0-359,ECK125122016"	"0"	"8861"	"oppA5p"	"U00096_ncRNA_1298696_1298951"	NA	"oppA5p"	"1298697"	"1298951"	"+"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_1823083_1823131"	"spy3'"	"1823084"	"1823131"	"-"	"0"	"ECK125121999"	"spy3'"	NA	"1823084"	"1823131"	"-"	NA	"ECK125122020"	"Spy3'"	"small RNA"	"U00096_ncRNA_1823083_1823131,spy3p,spy3',ECK125121999"	"ig:1096,ECK125122020"	"0"	"8882"	"spy3p"	"U00096_ncRNA_1823083_1823131"	NA	"spy3p"	"1823084"	"1823131"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_1994929_1995121"	"yecC3'"	"1994930"	"1995121"	"+"	"0"	"ECK125272700"	"yecC3'"	NA	"1994930"	"1995121"	"+"	NA	"ECK125272701"	"YecC3'"	"small RNA"	"U00096_ncRNA_1994929_1995121,yecC3p,yecC3',ECK125272700"	"RNA0-361,ECK125272701"	"0"	"8892"	"yecC3p"	"U00096_ncRNA_1994929_1995121"	NA	"yecC3p"	"1994930"	"1995121"	"+"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_2276279_2276520"	"yejG5'"	"2276280"	"2276520"	"-"	"0"	"ECK125272702"	"yejG5'"	NA	"2276280"	"2276520"	"-"	NA	"ECK125272703"	"YejG5'"	"small RNA"	"U00096_ncRNA_2276279_2276520,yejG5p,yejG5',ECK125272702"	"RNA0-362,ECK125272703"	"0"	"8908"	"yejG5p"	"U00096_ncRNA_2276279_2276520"	NA	"yejG5p"	"2276280"	"2276520"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_2529252_2529483"	"zipA5'"	"2529253"	"2529483"	"-"	"0"	"ECK125121989"	"zipA5'"	NA	"2529253"	"2529483"	"-"	NA	"ECK125122015"	"ZipA5'"	"small RNA"	"U00096_ncRNA_2529252_2529483,zipA5p,zipA5',ECK125121989"	"ig:1497,ECK125122015"	"0"	"8922"	"zipA5p"	"U00096_ncRNA_2529252_2529483"	NA	"zipA5p"	"2529253"	"2529483"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_2744204_2744454"	"rpsP5'"	"2744205"	"2744454"	"-"	"0"	"ECK125121987"	"rpsP5'"	NA	"2744205"	"2744454"	"-"	NA	"ECK125122014"	"RpsP5'"	"small RNA"	"U00096_ncRNA_2744204_2744454,rpsP5p,rpsP5',ECK125121987"	"ig:1614,ECK125122014"	"0"	"8932"	"rpsP5p"	"U00096_ncRNA_2744204_2744454"	NA	"rpsP5p"	"2744205"	"2744454"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_3347167_3347207"	"yrbL3'"	"3347168"	"3347207"	"+"	"0"	"ECK125122006"	"yrbL3'"	NA	"3347168"	"3347207"	"+"	NA	"ECK125122023"	"YrbL3'"	"small RNA"	"U00096_ncRNA_3347167_3347207,yrbL3p,yrbL3',ECK125122006"	"U00096_ncRNA_3347167_3347207,ECK125122023"	"0"	"8969"	"yrbL3p"	"U00096_ncRNA_3347167_3347207"	NA	"yrbL3p"	"3347168"	"3347207"	"+"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_3352085_3352191"	"yhcC5'"	"3352086"	"3352191"	"+"	"0"	"ECK125272706"	"yhcC5'"	NA	"3352086"	"3352191"	"+"	NA	"ECK125272707"	"YhcC5'"	"small RNA"	"U00096_ncRNA_3352085_3352191,yhcC5p,yhcC5',ECK125272706"	"RNA0-364,ECK125272707"	"0"	"8971"	"yhcC5p"	"U00096_ncRNA_3352085_3352191"	NA	"yhcC5p"	"3352086"	"3352191"	"+"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_3365634_3365792"	"yhcF3'"	"3365635"	"3365792"	"-"	"0"	"ECK125272708"	"yhcF3'"	NA	"3365635"	"3365792"	"-"	NA	"ECK125272709"	"YhcF3'"	"small RNA"	"U00096_ncRNA_3365634_3365792,yhcF3p,yhcF3',ECK125272708"	"RNA0-365,ECK125272709"	"0"	"8972"	"yhcF3p"	"U00096_ncRNA_3365634_3365792"	NA	"yhcF3p"	"3365635"	"3365792"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_3375388_3375473"	"rpsI3'"	"3375389"	"3375473"	"-"	"0"	"ECK125122001"	"rpsI3'"	NA	"3375389"	"3375473"	"-"	NA	"ECK125134949"	"RpsI3'"	"small RNA"	"U00096_ncRNA_3375388_3375473,rpsI3p,rpsI3',ECK125122001"	"ig:2006,ECK125134949"	"0"	"8973"	"rpsI3p"	"U00096_ncRNA_3375388_3375473"	NA	"rpsI3p"	"3375389"	"3375473"	"-"	"ncRNA"	NA	NA	NA	NA
