Consensus_bnumber	Consensus_symbol	Consensus_start	Consensus_stop	Consensus_strand	Consensus_TF	gene_synonyms	product_synonyms	RegulonDB_gene_id	RegulonDB_symbol	RegulonDB_bnumber	RegulonDB_strand	RegulonDB_type	RegulonDB_product_id	RegulonDB_product_name	RegulonDB_product_type	RegulonDB_start	RegulonDB_stop	RegulonDB_TF	refseq_id
ECK120002672	ackB	1	1	NA	0	"G14,NA,ackB,ECK120002672"	"ECK120002672,NA"	ECK120002672	ackB	NA	NA	Phantom Gene	NA	NA	NA	NA	NA	0	NA
ECK120002630	alaB	2	2	NA	0	"G0-9281,NA,alaB,ECK120002630"	"AlaB,ECK120007104"	ECK120002630	alaB	NA	NA	NA	ECK120007104	glutamate&mdash;pyruvate aminotransferase AlaB	NA	NA	NA	0	NA
ECK120002677	dgd	3	3	NA	0	"G26,NA,dgd,ECK120002677"	"Dgd,ECK125140824"	ECK120002677	dgd	NA	NA	NA	ECK125140824	D-galactose 1-dehydrogenase	NA	NA	NA	0	NA
ECK125135293	ECK125135293	4	4	NA	0	"G0-10697,NA,ECK125135293"	"ECK125135293,NA"	ECK125135293	NA	NA	NA	Pseudo Gene	NA	NA	NA	NA	NA	0	NA
b0001	thrL	190	255	+	0	"b0001,ECK0001,EG11277,thrL,ECK120001251"	"ThrL,ECK120005727,NP_414542.1"	ECK120001251	thrL	b0001	+	NA	ECK120005727	<i>thr</i> operon leader peptide	NA	190	255	0	NP_414542.1
b0002	thrA	337	2799	+	0	"b0002,ECK0002,EG10998,Hs,thrA1,thrA2,thrD,thrA,ECK120000987"	"ThrA,ThrD,ECK120005463,NP_414543.1"	ECK120000987	thrA	b0002	+	NA	ECK120005463	fused aspartate kinase/homoserine dehydrogenase 1	NA	337	2799	0	NP_414543.1
b0003	thrB	2801	3733	+	0	"b0003,ECK0003,EG10999,thrB,ECK120000988"	"ThrB,ECK120005464,NP_414544.1"	ECK120000988	thrB	b0003	+	NA	ECK120005464	homoserine kinase	NA	2801	3733	0	NP_414544.1
b0004	thrC	3734	5020	+	0	"b0004,ECK0004,EG11000,thrC,ECK120000989"	"ThrC,ECK120005465,NP_414545.1"	ECK120000989	thrC	b0004	+	NA	ECK120005465	threonine synthase	NA	3734	5020	0	NP_414545.1
b0005	yaaX	5234	5530	+	0	"b0005,ECK0005,G6081,yaaX,ECK120002701"	"YaaX,ECK120007175,NP_414546.1"	ECK120002701	yaaX	b0005	+	NA	ECK120007175	DUF2502 domain-containing protein YaaX	NA	5234	5530	0	NP_414546.1
b0006	yaaA	5683	6459	-	0	"b0006,ECK0006,EG10011,yaaA,ECK120000009"	"protein that reduces intracellular iron levels under peroxide stress,YaaA,ECK120004485,NP_414547.1"	ECK120000009	yaaA	b0006	-	NA	ECK120004485	peroxide stress resistance protein YaaA	NA	5683	6459	0	NP_414547.1
b0007	yaaJ	6529	7959	-	0	"b0007,ECK0007,EG11555,yaaJ,ECK120001508"	"YaaJ,ECK120005984,NP_414548.1"	ECK120001508	yaaJ	b0007	-	NA	ECK120005984	putative transporter YaaJ	NA	6529	7959	0	NP_414548.1
b0008	talB	8238	9191	+	0	"b0008,ECK0008,EG11556,yaaK,talB,ECK120001509"	"TalB,YaaK,ECK120005985,NP_414549.1"	ECK120001509	talB	b0008	+	NA	ECK120005985	transaldolase B	NA	8238	9191	0	NP_414549.1
b0009	mog	9306	9893	+	0	"b0009,bisD,chlG,ECK0009,EG11511,mogA,yaaG,mog,ECK120001467"	"BisD,ChlG,Mog,MogA,YaaG,ECK120005943,NP_414550.1"	ECK120001467	mog	b0009	+	NA	ECK120005943	molybdopterin adenylyltransferase	NA	9306	9893	0	NP_414550.1
b0010	satP	9928	10494	-	0	"b0010,ECK0010,EG11512,yaaH,satP,ECK120001468"	"SatP,YaaH,ECK120005944,NP_414551.1"	ECK120001468	satP	b0010	-	NA	ECK120005944	acetate/succinate:H<sup>+</sup> symporter	NA	9928	10494	0	NP_414551.1
