"Zika_gene_id"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_start"	"Zika_stop"	"Zika_strand"	"Zika_type"	"Zika_TF"	"Zika_parsed_bnum"
1	"b3243"	"aaeR"	"non-essential"	"LysR-type transcriptional regulator AaeR"	3389520	3390449	"+"	"CDS"	1	"b3243"
2	"b1339"	"abgR"	"non-essential"	"putative LysR-type DNA-binding transcriptional regulator AbgR"	1404741	1405649	"+"	"CDS"	1	"b1339"
3	"b0464"	"acrR"	"non-essential"	"DNA-binding transcriptional repressor AcrR"	485761	486408	"+"	"CDS"	1	"b0464"
4	"b2213"	"ada"	"non-essential"	"DNA-binding transcriptional dual regulator/DNA repair protein Ada"	2309341	2310405	"-"	"CDS"	1	"b2213"
5	"b4116"	"adiY"	"non-essential"	"DNA-binding transcriptional activator AdiY"	4337168	4337929	"-"	"CDS"	1	"b4116"
6	"b3131"	"agaR"	"non-essential"	"DNA-binding transcriptional repressor AgaR"	3277856	3278665	"-"	"CDS"	1	"b3131"
7	"b4187"	"aidB"	"non-essential"	"putative acyl-CoA dehydrogenase AidB"	4414275	4415900	"+"	"CDS"	1	"b4187"
8	"b0506"	"allR"	"non-essential"	"DNA-binding transcriptional repressor AllR"	533011	533826	"+"	"CDS"	1	"b0506"
9	"b0504"	"allS"	"non-essential"	"DNA-binding transcriptional activator AllS"	531295	532221	"-"	"CDS"	1	"b0504"
10	"b2624"	"alpA"	"non-essential"	"CP4-57 prophage; DNA-binding transcriptional activator AlpA"	2758644	2758856	"+"	"CDS"	1	"b2624"
11	"b4260"	"pepA"	"non-essential"	"aminopeptidase A/I"	4484440	4485951	"-"	"CDS"	1	"b4260"
12	"b0564"	"appY"	"non-essential"	"DNA-binding transcriptional activator AppY"	583681	584430	"+"	"CDS"	1	"b0564"
13	"b0064"	"araC"	"non-essential"	"DNA-binding transcriptional dual regulator AraC"	70387	71265	"+"	"CDS"	1	"b0064"
14	"b4401"	"arcA"	"non-essential"	"DNA-binding transcriptional dual regulator ArcA"	4639590	4640306	"-"	"CDS"	1	"b4401"
15	"b3237"	"argR"	"non-essential"	"DNA-binding transcriptional dual regulator ArgR"	3384703	3385173	"+"	"CDS"	1	"b3237"
16	"b3501"	"arsR"	"non-essential"	"DNA-binding transcriptional repressor ArsR"	3648528	3648881	"+"	"CDS"	1	"b3501"
17	"b2714"	"ascG"	"non-essential"	"DNA-binding transcriptional repressor AscG"	2838254	2839264	"-"	"CDS"	1	"b2714"
18	"b3743"	"asnC"	"non-essential"	"DNA-binding transcriptional dual regulator AsnC"	3926545	3927003	"-"	"CDS"	1	"b3743"
19	"b2220"	"atoC"	"non-essential"	"DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC"	2321866	2323251	"+"	"CDS"	1	"b2220"
20	"b2079"	"baeR"	"non-essential"	"DNA-binding transcriptional activator BaeR"	2164276	2164998	"+"	"CDS"	1	"b2079"
21	"b4113"	"basR"	"non-essential"	"DNA-binding transcriptional dual regulator BasR"	4333282	4333950	"-"	"CDS"	1	"b4113"
22	"b0313"	"betI"	"non-essential"	"DNA-binding transcriptional repressor BetI"	328747	329334	"-"	"CDS"	1	"b0313"
23	"b4366"	"bglJ"	"non-essential"	"DNA-binding transcriptional regulator BglJ"	4604160	4604837	"+"	"CDS"	1	"b4366"
24	"b3973"	"birA"	"essential"	"DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA"	4173082	4174047	"+"	"CDS"	1	"b3973"
