"Reference_name"	"Reference_bnumber"	"Reference_symbol"	"RegulonDB_tf_id"	"RegulonDB_tf_name"	"RegulonDB_tf_symmetry"	"RegulonDB_tf_family"	"RegulonDB_tf_class"	"RegulonDB_tf_conformation_id"	"RegulonDB_tf_conformation_final_state"	"RegulonDB_tf_conformation_type"	"RegulonDB_tf_interaction_type"	"RegulonDB_tf_apo_holo"	"Uniprot_ID"	"Pfam_ID"	"Refseq_ID"	"product_synonyms"	"RegulonDB_product_name"	"Ecocyc_id"	"gene_synonyms"	"RegulonDB_TF"	"Annotated_TF"	"Predicted_TF_2015"	"Predicted_TF_2020"	"Predicted_TF_2021"	"TF_synonyms"
"aaeR"	"b3243"	"aaeR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AaeR,b3243,ECK120008677,QseA,quorum sensing transcriptional regulator of LYSR-type,YhcS"	"LysR-type transcriptional regulator AaeR"	"G7688"	"aaeR,b3243,ECK120004235,ECK3232,G7688,qseA,yhcS"	0	1	1	0	1	"aaeR,AaeR,b3243,ECK120004235,ECK120008677,ECK3232,G7688,LysR-type transcriptional regulator AaeR,qseA,QseA,quorum sensing transcriptional regulator of LYSR-type,yhcS,YhcS"
"abgR"	"b1339"	"abgR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AbgR,b1339,ECK120007724"	"putative LysR-type DNA-binding transcriptional regulator AbgR"	"G6671"	"abgR,b1339,ECK120003266,ECK1335,G6671"	0	1	1	0	1	"abgR,AbgR,b1339,ECK120003266,ECK120007724,ECK1335,G6671,putative LysR-type DNA-binding transcriptional regulator AbgR"
"AccB"	"b3255"	"accB"	"ECK125286586"	"AccB"	NA	NA	"Local Regulator"	"ECK125269435"	"AccB"	"Active"	NA	NA	"P0ABD8"	"PF00364"	"NP_417721"	"AccB,apo-[acetyl-CoA:carbon-dioxide ligase (ADP forming)],b3255,BCCP,ECK120004745,FabE"	"biotin carboxyl carrier protein"	"EG10275"	"accB,b3255,ECK120000269,ECK3242,EG10275,fabE"	1	0	0	0	0	"accB,AccB,apo-[acetyl-CoA:carbon-dioxide ligase (ADP forming)],b3255,BCCP,biotin carboxyl carrier protein,ECK120000269,ECK120004745,ECK3242,EG10275,fabE,FabE,NP_417721,P0ABD8"
"AcrR"	"b0464"	"acrR"	"ECK120015994"	"AcrR"	"inverted-repeat"	"TetR/AcrR"	"Local Regulator"	"ECK125147160,ECK125147161,ECK125269321,ECK125272635"	"AcrR,AcrR-ethidium,AcrR-Proflavin,AcrR-R6G"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACS9"	"PF00440,PF08361"	"NP_414997"	"AcrR,b0464,ECK120006496,YbaH"	"DNA-binding transcriptional repressor AcrR"	"EG12116"	"acrR,b0464,ECK0458,ECK120002020,EG12116,ybaH"	1	1	1	1	1	"acrR,AcrR,AcrR-ethidium,AcrR-Proflavin,AcrR-R6G,b0464,DNA-binding transcriptional repressor AcrR,ECK0458,ECK120002020,ECK120006496,EG12116,NP_414997,P0ACS9,ybaH,YbaH"
"actS"	"b2865"	"actS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"b2865,ECK120008493,putative DNA-binding transcriptional regulator,YgeR"	"amidase activator"	"G7484"	"actS,b2865,ECK120004047,ECK2861,G7484,ygeR"	0	1	0	0	0	"actS,ActS,amidase activator,b2865,ECK120004047,ECK120008493,ECK2861,G7484,putative DNA-binding transcriptional regulator,ygeR,YgeR"
"Ada"	"b2213"	"ada"	"ECK120012595"	"Ada"	"inverted-repeat"	"AraC/XylS"	"Local Regulator"	"ECK125147162,ECK125269335"	"Ada,Ada-Methylated"	"Active"	"Covalent"	"Apo,Holo"	"P06134"	"PF01035,PF02805,PF02870,PF12833"	"NP_416717"	"Ada,b2213,ECK120004502"	"DNA-binding transcriptional dual regulator / DNA repair protein Ada"	"EG10029"	"ada,b2213,ECK120000026,ECK2205,EG10029"	1	1	1	1	1	"ada,Ada,Ada-Methylated,b2213,DNA-binding transcriptional dual regulator / DNA repair protein Ada,ECK120000026,ECK120004502,ECK2205,EG10029,NP_416717,P06134"
"AdiY"	"b4116"	"adiY"	"ECK120014170"	"AdiY"	"inverted-repeat"	"AraC/XylS"	"Local Regulator"	"ECK125269394"	"AdiY"	"Active"	NA	NA	"P33234"	"PF12833"	"NP_418540"	"AdiY,b4116,ECK120006368"	"DNA-binding transcriptional activator AdiY"	"EG11966"	"adiY,b4116,ECK120001892,ECK4109,EG11966"	1	1	1	1	1	"adiY,AdiY,b4116,DNA-binding transcriptional activator AdiY,ECK120001892,ECK120006368,ECK4109,EG11966,NP_418540,P33234"
"aes"	"b0476"	"aes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Aes,b0476,ECK120005565,YbaC"	"acetylesterase"	"EG11101"	"aes,b0476,ECK0470,ECK120001089,EG11101,ybaC"	0	0	0	1	0	"acetylesterase,aes,Aes,b0476,ECK0470,ECK120001089,ECK120005565,EG11101,ybaC,YbaC"
"AgaR"	"b3131"	"agaR"	"ECK120012515"	"AgaR"	"direct-repeat"	"DeoR"	"Local Regulator"	"ECK125269291"	"AgaR"	"Active"	NA	NA	"P0ACK2"	"PF00455,PF08220"	"NP_417600"	"AgaR,b3131,ECK120008623,YhaW"	"DNA-binding transcriptional repressor AgaR"	"G7630"	"agaR,b3131,ECK120004180,ECK3119,G7630,yhaW"	1	1	1	1	1	"agaR,AgaR,b3131,DNA-binding transcriptional repressor AgaR,ECK120004180,ECK120008623,ECK3119,G7630,NP_417600,P0ACK2,yhaW,YhaW"
"AidB"	"b4187"	"aidB"	"ECK125134683"	"AidB"	NA	"AidB_like"	"Local Regulator"	"ECK125269439"	"AidB-isovaleryl-CoA"	"Active"	NA	NA	"P33224"	"PF00441,PF02770,PF18158"	"NP_418608"	"AidB,b4187,ECK120006221,isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor"	"putative acyl-CoA dehydrogenase AidB"	"EG11811"	"aidB,b4187,ECK120001745,ECK4183,EG11811"	1	1	1	1	1	"aidB,AidB,AidB-isovaleryl-CoA,b4187,ECK120001745,ECK120006221,ECK4183,EG11811,isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,NP_418608,P33224,putative acyl-CoA dehydrogenase AidB"
"AlaS"	"b2697"	"alaS"	"ECK120030264"	"AlaS"	"inverted-repeat"	"Class II aminoacyl_tRNA synthetase"	"Local Regulator"	"ECK125147163,ECK125269388"	"AlaS,AlaS-L-alanine"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P00957"	"PF01411,PF02272,PF07973"	"NP_417177"	"Act,ala-act,AlaS,b2697,ECK120004507,LovB"	"alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor"	"EG10034"	"act,ala-act,alaS,b2697,ECK120000031,ECK2692,EG10034,lovB"	1	1	1	1	0	"act,Act,ala-act,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,alaS,AlaS,AlaS-L-alanine,b2697,ECK120000031,ECK120004507,ECK2692,EG10034,lovB,LovB,NP_417177,P00957"
"AllR"	"b0506"	"allR"	"ECK120015630"	"AllR"	"inverted-repeat"	"IclR"	"Local Regulator"	"ECK125158291,ECK125269384,ECK125272675"	"AllR,AllR-allantoin,AllR-glyoxylate"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACN4"	"PF01614,PF09339"	"NP_415039"	"AllR,b0506,ECK120007354,YbbU"	"DNA-binding transcriptional repressor AllR"	"G6276"	"allR,b0506,ECK0499,ECK120002884,G6276,glxA3,ybbU"	1	1	1	1	1	"allR,AllR,AllR-allantoin,AllR-glyoxylate,b0506,DNA-binding transcriptional repressor AllR,ECK0499,ECK120002884,ECK120007354,G6276,glxA3,NP_415039,P0ACN4,ybbU,YbbU"
"AllS"	"b0504"	"allS"	"ECK120015636"	"AllS"	NA	"LysR"	"Local Regulator"	"ECK125147164,ECK125269443"	"AllS,AllS-allantoin"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACR0"	"PF00126,PF03466"	"NP_415037"	"AllS,b0504,ECK120007352,GlxA1,YbbS"	"DNA-binding transcriptional activator AllS"	"G6274"	"allS,b0504,ECK0497,ECK120002882,G6274,glxA1,ybbS"	1	1	1	1	1	"allS,AllS,AllS-allantoin,b0504,DNA-binding transcriptional activator AllS,ECK0497,ECK120002882,ECK120007352,G6274,glxA1,GlxA1,NP_415037,P0ACR0,ybbS,YbbS"
"AlpA"	"b2624"	"alpA"	"ECK120012984"	"AlpA"	"inverted-repeat"	"AlpA"	"Local Regulator"	"ECK125269383"	"AlpA"	"Active"	NA	NA	"P33997"	"PF05930"	"NP_417113"	"AlpA,b2624,ECK120006492"	"CP4-57 prophage; DNA-binding transcriptional activator AlpA"	"EG12112"	"alpA,b2624,ECK120002016,ECK2620,EG12112"	1	1	1	1	1	"alpA,AlpA,b2624,CP4-57 prophage; DNA-binding transcriptional activator AlpA,ECK120002016,ECK120006492,ECK2620,EG12112,NP_417113,P33997"
"AlsR"	"b4089"	"alsR"	"ECK120011959"	"AlsR"	"inverted-repeat"	"RpiR"	"Local Regulator"	"ECK125269316,ECK125272647"	"AlsR,AlsR-D-allose"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACS7"	"PF01380,PF01418"	"NP_418513"	"AlsR,b4089,ECK120008758,RpiR,YjcY"	"DNA-binding transcriptional repressor AlsR"	"G7821"	"alsR,b4089,ECK120004319,ECK4082,G7821,rpiR,yjcY"	1	1	1	0	1	"alsR,AlsR,AlsR-D-allose,b4089,DNA-binding transcriptional repressor AlsR,ECK120004319,ECK120008758,ECK4082,G7821,NP_418513,P0ACS7,rpiR,RpiR,yjcY,YjcY"
